,Close,High,Low,Open,Volume,Signal,EMA,MACD,Signal_Line,MACD_Hist
2956,19670.0,19690.25,19669.25,19690.0,44,0,19672.083362156947,-7.861860728935426,-9.030611416142523,1.1687506872070976
2957,19655.0,19661.5,19651.25,19660.0,108,0,19670.53032923359,-8.221891300760035,-8.868867393066026,0.6469760923059908
2958,19628.0,19655.75,19625.0,19652.0,71,0,19666.663935666897,-10.564115921981283,-9.207917098849078,-1.356198823132205
2959,19640.0,19641.0,19624.75,19627.5,101,0,19664.23994151536,-11.32153844946879,-9.630641368973022,-1.690897080495768
2960,19652.0,19665.0,19633.25,19633.25,156,0,19663.127219559417,-10.8286753191569,-9.870248159009797,-0.958427160147103
2961,19591.5,19653.0,19586.0,19653.0,164,1,19656.615654144924,-15.145336110861535,-10.925265749380145,-4.22007036148139
2962,19575.25,19601.75,19569.0,19586.0,181,0,19649.218776495385,-19.6510351800207,-12.670419635508257,-6.9806155445124425
2963,19597.75,19597.75,19570.0,19588.75,159,0,19644.539796813988,-21.162326072611904,-14.368800922928987,-6.793525149682917
2964,19591.75,19600.0,19563.5,19600.0,85,0,19639.740724376352,-22.58385225828897,-16.011811190000984,-6.572041068287987
2965,19595.25,19597.25,19575.0,19590.5,44,0,19635.69611306941,-23.16101548343795,-17.44165204868838,-5.719363434749571
2966,19610.25,19614.25,19604.75,19604.80078125,54,0,19633.3828300631,-22.152684500480973,-18.383858539046898,-3.768825961434075
2967,19592.75,19608.25,19590.5,19608.25,111,0,19629.688936421,-22.506240744594834,-19.208334980156486,-3.2979057644383474
2968,19635.5,19640.0,19601.5,19601.5,48,0,19630.21721492818,-19.116505713696824,-19.189969126864554,0.07346341316772964
2969,19616.25,19646.0,19616.25,19646.0,39,0,19628.947468116527,-17.778491023233073,-18.90767350613826,1.1291824829051862
2970,19592.25,19616.5,19571.25,19616.5,85,0,19625.61133465139,-18.442114943543856,-18.81456179361938,0.3724468500755229
2971,19603.5,19611.25,19583.25,19583.25,148,0,19623.601213319445,-17.854445764944103,-18.622538587884325,0.768092822940222
2972,19608.25,19611.75,19593.0,19609.0,174,0,19622.205648472223,-16.81163434849077,-18.260357740005617,1.4487233915148465
2973,19619.0,19619.0,19603.75,19607.25,116,2,19621.91422588384,-14.945481422797457,-17.597382476563986,2.6519010537665295
2974,19612.25,19626.5,19612.25,19619.0,91,0,19621.035659894398,-13.851538459104631,-16.848213673072117,2.9966752139674853
2975,19595.75,19620.5,19592.5,19612.5,126,0,19618.736963540363,-14.152847664656292,-16.309140471388954,2.1562928067326617
2976,19631.5,19631.5,19594.25,19594.25,154,2,19619.897239582147,-11.375778265417466,-15.322468030194656,3.94668976477719
2977,19593.0,19627.0,19592.75,19627.0,167,0,19617.45203598377,-12.141598214555415,-14.68629406706681,2.544695852511394
2978,19495.75,19595.25,19489.25,19592.25,515,0,19606.3882145307,-20.36106856542392,-15.821248966738233,-4.539819598685687
2979,19485.5,19522.25,19477.0,19498.25,444,0,19595.39837684609,-27.386453386585345,-18.134289850707656,-9.252163535877688
2980,19454.5,19484.0,19454.5,19483.75,504,0,19582.589433496443,-35.05151040160854,-21.517733960887835,-13.533776440720704
2981,19451.25,19491.0,19408.0,19456.0,1250,0,19570.649484996768,-40.9167087991118,-25.39752892853263,-15.519179870579173
2982,19970.75,19970.80078125,19970.75,19970.75,589029,0,19607.02225908797,-3.6040669874819287,-21.038836540322492,17.434769552840564
2983,20076.5,20102.5,20050.5,20050.5,5029,0,19649.702053716337,34.10645371379724,-10.009778489498547,44.11623220329578
2984,20080.5,20086.0,20066.0,20075.75,4455,0,19688.86550337849,63.58214424939797,4.708606058280757,58.87353819111721
2985,20073.5,20083.0,20068.25,20081.25,1923,1,19723.832275798624,85.39264658641332,20.84541416390727,64.54723242250606
2986,20063.5,20077.0,20058.5,20072.25,3611,0,19754.711159816932,100.70979062155311,36.81828945543644,63.89150116611667
2987,20064.0,20071.25,20056.5,20063.75,1393,0,19782.8283271063,111.60259816336838,51.775151197022836,59.82744696634555
2988,20067.0,20070.5,20059.25,20063.75,729,0,19808.662115551182,119.10434084526423,65.24098912667112,53.86335171859311
2989,20081.75,20083.75,20064.25,20066.75,4185,0,19833.48828686471,124.80109832144808,77.15301096562652,47.64808735582156
2990,20107.5,20114.25,20079.75,20081.5,1881,0,19858.39844260428,129.8962661637961,87.70166200526045,42.194604158535654
2991,20117.25,20133.0,20102.0,20109.75,3616,0,19881.93040236753,133.18568522929854,96.79846665006806,36.38721857923048
2992,20135.5,20136.5,20109.25,20117.25,3570,0,19904.98218397048,135.70092027800274,104.57895737565501,31.121962902347732
2993,20113.5,20139.0,20105.5,20136.0,4015,1,19923.938349064072,134.37011103949044,110.5371881084221,23.83292293106834
2994,20123.0,20126.0,20113.5,20114.0,1694,0,19942.03486278552,132.5540056698337,114.94055162070443,17.613454049129288
2995,20118.25,20124.25,20107.5,20122.0,1195,0,19958.05442071411,129.24162675435218,117.80076664743399,11.440860106918194
2996,20111.0,20127.0,20108.0,20118.25,4571,0,19971.958564285553,124.59527145869652,119.1596676096865,5.435603849010022
2997,20102.5,20124.0,20099.25,20111.25,3618,0,19983.82596753232,118.85701279163186,119.09913664607558,-0.24212385444371876
2998,20109.25,20110.75,20102.25,20104.5,871,0,19995.22815230211,113.54519175285532,117.98834766743153,-4.443155914576209
2999,20106.25,20116.0,20103.0,20109.75,843,0,20005.32104754737,107.85023006432311,115.96072414680985,-8.110494082486738
3000,20106.75,20109.25,20101.25,20107.0,583,0,20014.541861406702,102.1991890825484,113.20841713395757,-11.009228051409167
3001,20110.75,20112.5,20097.25,20108.25,829,0,20023.288055824272,96.92616051754158,109.95196581067438,-13.025805293132805
3002,20113.75,20117.0,20110.25,20111.5,776,0,20031.511868931157,91.92961494076735,106.34749563669298,-14.417880695925632
3003,20117.25,20120.25,20113.25,20114.0,496,0,20039.30624448287,87.24651382003867,102.52729927336213,-15.28078545332346
3004,20110.25,20125.0,20108.5,20117.5,1156,1,20045.755676802608,82.02475067622072,98.42678955393386,-16.40203887771314
3005,20106.5,20109.25,20100.75,20107.25,1151,0,20051.27788800237,76.69972541338211,94.08137672582352,-17.381651312441406
3006,20105.0,20107.5,20101.25,20106.25,354,0,20056.16171636579,71.53396800901464,89.57189498246174,-18.0379269734471
3007,20098.75,20104.0,20096.0,20104.0,656,0,20060.033378514356,66.17294476617462,84.89210493920433,-18.719160173029707
3008,20105.75,20109.0,20098.5,20098.5,487,2,20064.18943501305,61.77700980649752,80.26908591266297,-18.492076106165456
3009,20111.5,20113.75,20106.0,20106.75,520,0,20068.490395466408,58.08757917078037,75.83278456428646,-17.745205393506083
3010,20112.5,20113.0,20109.5,20112.0,286,0,20072.491268605823,54.61480497845696,71.58918864712057,-16.974383668663606
3011,20121.75,20122.75,20111.75,20111.75,716,0,20076.9693350962,52.00947129525957,67.67324517674837,-15.663773881488794
3012,20119.75,20126.0,20119.5,20122.5,515,0,20080.858486451092,49.216010759475466,63.98179829329379,-14.765787533818326
3013,20117.25,20121.25,20113.75,20119.5,375,0,20084.16680586463,46.26710565868052,60.43885976637114,-14.171754107690617
3014,20117.0,20119.75,20114.75,20117.25,251,0,20087.151641695116,43.40950644115219,57.03298910132735,-13.623482660175164
3015,20113.0,20118.25,20110.25,20116.5,490,0,20089.501492450105,40.35686310614983,53.697763902291854,-13.340900796142023
3016,20121.25,20123.75,20114.0,20114.0,485,0,20092.387720409184,38.16340336384019,50.590891794601525,-12.427488430761336
3017,20128.0,20129.25,20113.75,20121.0,1028,0,20095.625200371986,36.548431732528115,47.78239978218684,-11.233968049658728
3018,20146.75,20149.75,20126.75,20128.0,1888,0,20100.272909429077,36.36236071959138,45.49839196966775,-9.136031250076371
3019,20159.0,20159.0,20140.5,20146.5,2717,0,20105.611735844614,36.77940068700991,43.75459371313618,-6.97519302612627
3020,20172.0,20172.75,20158.75,20159.25,3290,0,20111.64703258601,37.724039969896694,42.54848296448829,-4.8244429945915925
3021,20162.0,20172.75,20159.5,20171.25,1613,0,20116.22457507819,37.23651758503547,41.486089888597725,-4.249572303562253
3022,20167.5,20171.5,20161.75,20162.0,1278,0,20120.88597734381,36.86895426259434,40.56266276339705,-3.693708500802707
3023,20218.25,20220.25,20158.75,20166.75,5959,0,20129.737252130733,40.20925132606499,40.49198047593064,-0.2827291498656521
3024,20209.5,20227.25,20193.25,20218.75,2951,0,20136.988411027938,41.67006240056435,40.72759686085738,0.9424655397069657
3025,20206.0,20216.5,20201.5,20208.75,1810,0,20143.26219184358,42.060497716476675,40.994177031981245,1.0663206844954303
3026,20210.75,20224.25,20197.75,20206.0,2170,2,20149.397447130526,42.265989799128874,41.248539585410775,1.0174502137180994
3027,20221.0,20221.5,20196.75,20210.0,1670,0,20155.90677011866,42.7629879858323,41.55142926549508,1.2115587203372158
3028,20199.75,20221.25,20195.5,20220.5,1776,0,20159.892518289693,40.969889835974755,41.43512137959102,-0.4652315436162624
3029,20185.75,20200.25,20184.0,20200.0,3867,0,20162.243198445176,37.98133840989249,40.744364785651314,-2.7630263757588267
3030,20189.25,20204.0,20186.0,20186.75,2191,0,20164.698362222887,35.48624725373156,39.692741279267366,-4.206494025535804
3031,20191.75,20194.75,20183.25,20188.5,1037,0,20167.157602020805,33.326432276640844,38.41947947874206,-5.093047202101218
3032,20211.0,20214.0,20189.25,20190.75,1613,0,20171.14327456437,32.79009367890103,37.29360231877386,-4.503508639872827
3033,20225.0,20230.0,20209.25,20210.75,2084,0,20176.039340513064,33.11301821139568,36.45748549729822,-3.344467285902539
3034,20214.75,20226.0,20213.25,20226.0,1489,0,20179.558491375512,32.17100161193957,35.6001887202265,-3.429187108286925
3035,20246.0,20248.5,20210.25,20214.0,4851,2,20185.598628523192,33.55921081051929,35.191993138285056,-1.6327823277657671
3036,20242.0,20252.75,20235.5,20245.0,3585,0,20190.726025930173,33.94530963207944,34.94265643704394,-0.9973468049644936
3037,20239.5,20251.75,20227.25,20242.5,2999,0,20195.160023572884,33.66153737396235,34.68643262442762,-1.0248952504652706
3038,20253.0,20262.75,20238.75,20239.25,2580,2,20200.418203248075,34.132524495107646,34.575650998563624,-0.4431265034559786
3039,20246.0,20260.25,20244.0,20253.75,2677,0,20204.562002952796,33.554152302327566,34.37135125931641,-0.8171989569888467
3040,20259.25,20261.0,20237.75,20245.5,3426,2,20209.533639047997,33.77560825040564,34.25220265753426,-0.4765944071286228
3041,20273.75,20276.25,20258.5,20260.25,4013,0,20215.37149004363,34.72090156299964,34.34594243862734,0.37495912437230317
3042,20273.0,20275.75,20261.5,20274.5,2841,0,20220.61044549421,35.00600713197855,34.47795537729758,0.5280517546809662
3043,20275.5,20286.0,20266.75,20272.75,4830,2,20225.600404994737,35.02988178423402,34.58834065868487,0.4415411255491506
3044,20256.5,20286.0,20252.5,20275.25,7175,0,20228.409459086124,33.13371654842922,34.29741583663374,-1.1636992882045192
3045,20268.0,20293.0,20229.25,20256.25,38443,0,20232.008599169203,32.18790371070645,33.87551341144828,-1.687609700741831
3046,20316.0,20338.5,20262.25,20267.75,24070,0,20239.64418106291,34.909128368213715,34.08223640280137,0.8268919654123437
3047,20318.5,20328.75,20275.0,20315.5,22305,0,20246.812891875372,36.84274736348743,34.63433859493858,2.20840876854885
3048,20338.75,20347.5,20310.0,20318.0,18353,0,20255.170810795793,39.55321526732587,35.61811392941604,3.9351013379098276
3049,20331.0,20350.0,20315.5,20339.75,18965,0,20262.06437345072,40.607818721699005,36.616054887872636,3.9917638338263686
3050,20349.25,20359.25,20328.5,20331.25,14589,0,20269.990339500655,42.427148280294205,37.77827356635695,4.6488747139372535
3051,20358.75,20370.25,20328.25,20349.25,15673,0,20278.059399546048,44.12688342414549,39.04799553791466,5.078887886230831
3052,20355.75,20369.75,20344.75,20358.25,9782,0,20285.1221814055,44.716398041986395,40.18167603872901,4.534722003257386
3053,20334.25,20361.5,20328.5,20356.0,12166,0,20289.58834673227,42.953580172295915,40.73605686544239,2.217523306853522
3054,20354.5,20358.5,20330.0,20335.0,9332,0,20295.489406120247,42.69834018695474,41.128513529744865,1.5698266572098731
3055,20370.0,20380.75,20347.5,20354.75,12494,0,20302.26309647295,43.24824230457307,41.55245928471051,1.69578301986256
3056,20338.0,20375.0,20334.0,20370.75,15434,1,20305.5119058845,40.633513282140484,41.36867008419651,-0.7351568020560251
3057,20340.0,20353.5,20319.0,20337.5,12467,0,20308.647187167728,38.28142059183665,40.75122018572454,-2.469799593887892
3058,20341.75,20360.5,20334.25,20340.25,9669,0,20311.656533788842,36.14195856277365,39.829367861134365,-3.6874092983607127
3059,20322.25,20347.5,20317.0,20342.5,9317,1,20312.619576171674,32.49831214612641,38.36315671813278,-5.864844572006369
3060,20337.25,20338.25,20309.0,20322.25,10727,0,20314.85870561061,30.46983347614878,36.78449206973598,-6.314658593587204
3061,20336.0,20350.25,20329.25,20337.75,9486,0,20316.780641464193,28.433619891678973,35.11431763412458,-6.680697742445609
3062,20342.5,20349.75,20326.0,20336.0,7475,2,20319.118764967447,27.032784520462883,33.498011011392244,-6.465226490929361
3063,20321.0,20345.0,20308.25,20342.75,10361,1,20319.28978633404,23.912098294920725,31.58082846809794,-7.668730173177217
3064,20335.0,20339.75,20315.5,20320.75,7777,0,20320.7179875764,22.31142278151674,29.7269473307817,-7.415524549264962
3065,20359.5,20372.75,20317.0,20335.5,16745,0,20324.243625069455,22.75748700569966,28.333055265765296,-5.575568260065637
3066,20366.0,20373.5,20328.25,20359.5,14919,0,20328.03965915405,23.36614146047941,27.33967250470812,-3.9735310442287073
3067,20374.5,20391.5,20359.75,20366.25,11440,0,20332.26332650368,24.254789350005012,26.7226958737675,-2.467906523762487
3068,20370.75,20387.0,20366.5,20374.75,8853,0,20335.762115003345,24.37547029649795,26.25325075831359,-1.8777804618156395
3069,20373.0,20384.0,20360.75,20370.5,10810,0,20339.147377275767,24.371724937805993,25.876945594212074,-1.505220656406081
3070,20365.75,20409.5,20365.75,20373.25,38853,1,20341.565797523424,23.51270250649395,25.404096976668452,-1.8913944701745002
3071,20370.75,20377.25,20357.25,20365.75,13687,0,20344.218906839476,22.970588607240643,24.917395302782893,-1.94680669554225
3072,20367.25,20379.25,20366.0,20370.25,2112,0,20346.312642581343,22.004880126547505,24.334892267535817,-2.3300121409883126
3073,20366.25,20371.25,20362.75,20367.0,1364,0,20348.125129619402,20.917730973564176,23.65146000874149,-2.7337290351773156
3074,20357.25,20368.75,20356.25,20364.75,1708,0,20348.954663290366,19.109648520676274,22.74309771112845,-3.6334491904521755
3075,20348.25,20366.25,20342.5,20353.0,796,0,20348.89060299124,16.757337214046856,21.54594561171213,-4.788608397665275
3076,20343.75,20350.75,20342.5,20348.5,737,0,20348.42327544658,14.36441710526924,20.109639910423553,-5.745222805154313
3077,20353.25,20356.5,20343.25,20344.0,564,0,20348.8620685878,13.08375984505983,18.70446389735081,-5.620704052290979
3078,20348.25,20355.0,20342.25,20352.25,424,0,20348.80642598891,11.532432819596579,17.270057681799965,-5.737624862203386
3079,20348.75,20358.0,20343.5,20348.5,868,0,20348.801296353555,10.225467966945871,15.861139738829147,-5.635671771883276
3080,20351.25,20351.75,20347.0,20348.75,362,0,20349.023905775957,9.284393304984405,14.5457904520602,-5.261397147075794
3081,20366.5,20367.25,20351.75,20352.0,997,0,20350.612641614505,9.657803261510708,13.568193013950301,-3.9103897524395936
3082,20355.0,20367.75,20354.0,20366.75,661,0,20351.011492376823,8.922921566350851,12.639138724430412,-3.7162171580795604
3083,20348.5,20363.0,20343.5,20354.75,1089,0,20350.78317488802,7.726955320100387,11.656702043564408,-3.929746723464021
3084,20350.5,20361.0,20334.0,20349.25,3232,0,20350.75743171638,6.861432416968455,10.697648118245219,-3.836215701276764
3085,20349.5,20354.5,20346.5,20350.0,1376,0,20350.643119742166,6.025351140535349,9.763188722703246,-3.737837582167897
3086,20368.75,20371.5,20348.25,20349.5,1323,2,20352.289199765604,6.837249272779445,9.178000832718487,-2.340751559939042
3087,20369.25,20374.75,20360.0,20367.75,903,0,20353.831090696003,7.4353204672988795,8.829464759634567,-1.394144292335687
3088,20365.0,20371.25,20362.0,20369.5,643,1,20354.846446087275,7.480130429190467,8.559597893545748,-1.0794674643552806
3089,20371.25,20373.25,20358.5,20364.0,812,2,20356.33767826116,7.92856979615317,8.433392274067232,-0.5048224779140629
3090,20361.0,20373.0,20359.75,20372.0,899,1,20356.761525691963,7.371893291110609,8.221092477475908,-0.8491991863652988
3091,20346.25,20360.75,20344.0,20360.75,1118,0,20355.805932447238,5.675102373581467,7.711894456697021,-2.0367920831155537
3092,20353.5,20353.75,20343.5,20346.75,2430,0,20355.59630222476,4.859381827103789,7.141391930778375,-2.282010103674586
3093,20348.0,20353.75,20345.5,20353.5,769,0,20354.905729295235,3.7261605234307353,6.458345649308847,-2.732185125878112
3094,20344.25,20348.5,20338.0,20347.5,827,0,20353.93702663203,2.496700407747994,5.666016600996677,-3.169316193248683
3095,20346.75,20348.25,20343.0,20343.5,414,0,20353.283660574572,1.7044259534923185,4.873698471495806,-3.1692725180034875
3096,20335.25,20346.5,20333.0,20346.5,867,0,20351.644236885975,0.14689552974959952,3.9283378831465647,-3.781442353396965
3097,20337.0,20338.0,20329.75,20335.25,556,0,20350.312942623612,-0.9354647228101385,2.9555773619552244,-3.891042084765363
